NAME,TOUR2000,TOUR2001,TOUR2002,TOUR2003,TOUR2004,TOUR2005,TOUR2006,TOUR2007,TOUR2008,TOUR2009,TOUR2010,TOUR2011
EU (27 countries),:,:,:,:,:,:,:,:,383559,381095,386227,396756
Euro area (changing composition),231460,:,239379,:,:,:,:,:,294663,293988,302991,312114
Belgium,2048,2093,2103,2119,2208,2364,2596,2877,3081,3217,3601,3883
Bulgaria,1325,1207,1355,1431,1503,1721,1921,2228,2442,2100,1996,2242
Czech Republic,3398,3293,3438,3462,3346,3388,3595,3795,3954,3726,3816,4102
Denmark,1640,1647,1698,1655,1757,1899,2086,2302,2243,2039,2166,2322
Germany,70828,70892,68695,68704,71320,73777,76407,79283,80988,81076,85640,90794
Estonia,293,306,250,306,385,428,571,676,658,560,612,668
Ireland,2773,:,2770,:,:,:,:,:,3909,:,3976,3860
Greece,5837,5528,5465,5650,5567,5933,6128,6950,6968,7352,6876,:
Spain,32133,32892,33258,35283,39211,41600,47444,48641,47241,45138,46233,45825
France,62128,66111,65253,66365,69705,73066,74240,76201,76335,75884,77002,79828
Italy,37963,38648,38011,39156,40767,41295,42521,43282,43498,43698,44354,45072
Cyprus,279,331,376,400,446,449,509,535,528,593,610,543
Latvia,204,210,225,257,287,354,418,541,483,302,356,427
Lithuania,142,141,156,175,258,347,463,567,565,414,451,519
Luxembourg,18,20,22,24,24,29,29,31,30,30,:,:
Hungary,2135,2148,2273,2380,2452,2778,3007,3188,3313,3066,3128,3144
Malta,:,:,:,118,117,105,135,143,142,158,158,144
Netherlands,7800,7601,7515,7379,7915,8301,9463,10516,10461,10092,10499,10849
Austria,5956,6262,6286,6437,6600,6896,7399,7875,8118,8323,8804,8966
Poland,4742,4340,4580,4834,6273,6805,7564,8652,9510,9592,10687,11578
Portugal,4397,4459,4674,4714,4934,5274,5438,5954,6050,6189,6425,6322
Romania,3660,3575,3505,3636,3963,4139,4604,5186,5420,4663,4562,5356
Slovenia,512,468,463,463,467,459,484,523,643,648,626,656
Slovakia,1083,1181,1309,1234,1183,1244,1259,1320,1480,1333,1401,1479
Finland,5415,5442,5327,5415,5736,5948,6203,6520,6671,6429,6753,6945
Sweden,10575,10612,10375,10359,10509,11096,11866,12459,12573,12367,13057,13414
United Kingdom,54220,54960,57680,52020,48100,52611,46783,47010,46256,48279,42406,41538
Iceland,186,175,187,194,204,229,245,274,270,243,253,261
Norway,7032,7173,7029,6998,7319,7736,8122,8446,8348,8294,8463,9016
Switzerland,5986,6178,6190,:,:,6584,6960,7197,7402,7283,7587,7707
Montenegro,:,:,:,:,:,:,:,:,:,:,:,87
Croatia,906,814,886,928,979,1002,1037,1111,1129,970,911,942
Former Yugoslav Republic of Macedonia,195,119,154,:,:,:,:,:,135,134,118,121
Turkey,:,:,:,:,:,:,:,:,:,:,:,:
